report_no,name,energy,protein,fat,carbohydrate,sugars,sodium,cholesterol,saturated_fat,trans_fat,dietary_fiber
19660402003155,N 유어스 먹태쌀칩 청양마요맛,556.0,7.0,35.0,54.0,3.0,650.0,6.0,16.0,0.0,0.0
196900860031025,LOTTE 목캔디 허브민트,387.0,0.0,0.0,96.35,75.91,0.0,0.0,0.0,0.0,0.0
196900860031234,ABC초코쿠키,530.0,6.9,30.0,60.0,34.0,190.0,10.0,16.0,0.0,0.0
196900860031244,ABC초코쿠키 쿠키앤크림,547.0,6.25,31.25,59.38,34.38,281.0,15.63,15.63,0.0,0.0
196900860031254,ABC초코쿠키 꿀고구마,538.0,6.77,30.77,58.46,43.08,277.0,15.38,18.46,0.0,0.0
196900860031264,ABC초코쿠키 스트로베리&초코,557.0,7.29,32.92,57.81,32.45,234.0,15.86,19.08,0.17,0.0
196900860031328,ABC초코쿠키 핑크베리,540.0,7.0,30.0,60.0,34.0,270.0,20.0,17.0,0.0,0.0
196903640041629,1am 바로먹는 알뜰 곤약면 매콤비빔,53.0,0.5,0.0,12.5,5.5,320.0,0.0,0.0,0.0,0.0
196903640041631,1am 바로먹는 알뜰 곤약면 메밀소바,29.0,0.71,0.0,6.43,2.86,496.0,0.0,0.0,0.0,0.0
196903640041632,1am 바로먹는 알뜰 곤약면 물냉면,21.0,0.25,0.0,5.0,1.43,379.0,0.0,0.0,0.0,0.0
196903640041633,1am 바로먹는 알뜰 곤약면 가쓰오우동,14.0,0.25,0.0,3.21,0.71,443.0,0.0,0.0,0.0,0.0
196903640042010,130직화간짜장,92.0,3.89,3.89,10.56,5.0,572.0,8.33,0.67,0.0,0.0
19700144004703,6년근 홍삼젤리,357.0,0.0,0.0,85.72,57.14,43.0,0.0,0.0,0.0,0.0
197102750034486,24시간 숙성한 국산꿀필링 미니꿀호떡,283.0,4.17,4.17,57.29,27.6,245.0,0.0,1.72,0.0,0.0
197102750034814,DIY미니케익,327.0,5.0,20.0,29.17,25.0,158.0,125.0,10.83,0.0,0.0
197102750035027,56시간 저온숙성 熟 익을[숙] 탕종찰숙식빵,266.0,6.0,6.0,47.0,9.0,480.0,5.0,2.4,0.0,0.0
197102750035421,3.5미니츄러스,173.0,3.7,0.7,38.0,3.0,590.0,5.0,0.5,0.0,0.0
197102750035432,BK)플레인베이글,227.0,6.09,2.36,45.45,1.82,491.0,4.55,0.27,0.0,0.0
197102750035433,BK)어니언베이글,232.0,6.18,2.36,46.36,2.73,491.0,0.0,0.27,0.0,0.0
197102750035434,BK)블루베리베이글,243.0,5.82,2.55,49.09,7.27,473.0,0.0,0.36,0.0,0.0
197102750035435,BK)곡물베이글,269.0,7.18,6.55,45.45,2.73,455.0,0.0,0.73,0.0,0.0
197102750035465,KFC징거번스,279.0,7.36,6.04,49.06,7.55,283.0,9.43,2.64,0.0,0.0
197102750035479,(조각케익)우유생크림,310.0,3.38,21.25,26.25,16.25,106.0,87.5,13.75,0.38,0.0
197102750035527,MEM쵸 치즈크림빵,385.0,4.88,19.51,47.56,19.51,305.0,36.59,9.76,0.0,0.0
197102750035536,MINI 바나나 보름달,393.0,4.44,20.0,48.89,35.56,178.0,200.0,6.44,0.22,0.0
197102750035544,192겹 바삭초코크림파이,406.0,4.41,23.53,44.12,13.24,265.0,7.35,14.71,0.0,0.0
197102750035640,Mini모찌생크림빵 우유,325.0,5.0,18.33,35.0,8.33,167.0,25.0,13.33,0.33,0.0
197102750035643,Mini모찌생크림빵 초코,330.0,5.0,16.67,40.0,13.33,217.0,16.67,11.67,0.0,0.0
197102750035665,4-6-3 카라멜땅콩 베이스샌드,323.0,6.25,12.5,46.25,11.25,525.0,2.5,6.0,0.0,0.0
197102750035676,EASYBUY 브라운브레드,273.0,6.67,4.5,51.67,8.33,467.0,0.0,2.17,0.0,0.0
197102750035677,EASYBUY 모닝롤,298.0,6.0,6.0,55.0,17.0,410.0,2.0,2.4,0.0,0.0
